Date,Week,Total Transport Amount (people)
106/1/1,7,"1,884,302"
106/1/2,1,"1,613,142"
106/1/3,2,"2,086,078"
106/1/4,3,"2,102,464"
106/1/5,4,"2,121,532"
106/1/6,5,"2,315,537"
106/1/7,6,"1,939,773"
106/1/8,7,"1,569,850"
106/1/9,1,"2,045,798"
106/1/10,2,"2,089,558"
106/1/11,3,"2,114,674"
106/1/12,4,"2,138,719"
106/1/13,5,"2,360,351"
106/1/14,6,"1,934,888"
106/1/15,7,"1,659,418"
106/1/16,1,"2,086,633"
106/1/17,2,"2,137,437"
106/1/18,3,"2,155,254"
106/1/19,4,"2,302,054"
106/1/20,5,"2,369,498"
106/1/21,6,"2,014,707"
106/1/22,7,"1,832,823"
106/1/23,1,"2,204,738"
106/1/24,2,"2,242,085"
106/1/25,3,"2,172,966"
106/1/26,4,"1,902,063"
106/1/27,5,"791,835"
106/1/28,6,"1,368,910"
106/1/29,7,"1,408,008"
106/1/30,1,"1,458,457"
106/1/31,2,"1,611,514"
106/2/1,3,"1,565,485"
106/2/2,4,"1,990,640"
106/2/3,5,"2,161,128"
106/2/4,6,"1,994,773"
106/2/5,7,"1,711,749"
106/2/6,1,"2,145,657"
106/2/7,2,"2,205,460"
106/2/8,3,"2,247,330"
106/2/9,4,"2,180,141"
106/2/10,5,"2,360,414"
106/2/11,6,"2,101,629"
106/2/12,7,"1,828,262"
106/2/13,1,"2,101,904"
106/2/14,2,"2,165,802"
106/2/15,3,"2,132,593"
106/2/16,4,"2,141,177"
106/2/17,5,"2,268,409"
106/2/18,6,"2,228,255"
106/2/19,7,"1,861,147"
106/2/20,1,"2,126,807"
106/2/21,2,"2,152,463"
106/2/22,3,"2,140,162"
106/2/23,4,"2,154,013"
106/2/24,5,"2,345,214"
106/2/25,6,"1,807,223"
106/2/26,7,"1,721,436"
106/2/27,1,"1,852,627"
106/2/28,2,"1,615,869"
106/3/1,3,"2,088,893"
106/3/2,4,"2,084,461"
106/3/3,5,"2,287,419"
106/3/4,6,"2,012,231"
106/3/5,7,"1,770,122"
106/3/6,1,"2,101,708"
106/3/7,2,"2,150,048"
106/3/8,3,"2,203,459"
106/3/9,4,"2,198,453"
106/3/10,5,"2,400,005"
106/3/11,6,"2,100,336"
106/3/12,7,"1,831,527"
106/3/13,1,"2,129,534"
106/3/14,2,"2,168,801"
106/3/15,3,"2,175,622"
106/3/16,4,"2,212,951"
106/3/17,5,"2,396,654"
106/3/18,6,"2,118,684"
106/3/19,7,"1,720,963"
106/3/20,1,"2,081,692"
106/3/21,2,"2,129,987"
106/3/22,3,"2,182,418"
106/3/23,4,"2,203,776"
106/3/24,5,"2,401,878"
106/3/25,6,"1,975,025"
106/3/26,7,"1,655,470"
106/3/27,1,"2,102,268"
106/3/28,2,"2,143,971"
106/3/29,3,"2,266,744"
106/3/30,4,"2,173,960"
106/3/31,5,"2,329,942"
106/4/1,6,"1,822,636"
106/4/2,7,"1,773,319"
106/4/3,1,"1,712,219"
106/4/4,2,"1,460,361"
106/4/5,3,"2,059,486"
106/4/6,4,"2,132,098"
106/4/7,5,"2,336,863"
106/4/8,6,"2,044,515"
106/4/9,7,"1,772,088"
106/4/10,1,"2,082,153"
106/4/11,2,"2,145,232"
106/4/12,3,"2,180,774"
106/4/13,4,"2,180,977"
106/4/14,5,"2,362,235"
106/4/15,6,"2,063,462"
106/4/16,7,"1,731,476"
106/4/17,1,"2,048,873"
106/4/18,2,"2,086,681"
106/4/19,3,"2,139,074"
106/4/20,4,"2,146,441"
106/4/21,5,"2,364,951"
106/4/22,6,"2,019,041"
106/4/23,7,"1,754,781"
106/4/24,1,"2,050,920"
106/4/25,2,"2,095,866"
106/4/26,3,"2,116,414"
106/4/27,4,"2,158,321"
106/4/28,5,"2,361,961"
106/4/29,6,"2,031,281"
106/4/30,7,"1,800,071"
106/5/1,1,"1,766,625"
106/5/2,2,"2,080,021"
106/5/3,3,"2,142,978"
106/5/4,4,"2,152,861"
106/5/5,5,"2,352,448"
106/5/6,6,"1,987,107"
106/5/7,7,"1,748,511"
106/5/8,1,"2,055,848"
106/5/9,2,"2,088,439"
106/5/10,3,"2,116,379"
106/5/11,4,"2,123,612"
106/5/12,5,"2,337,986"
106/5/13,6,"1,916,565"
106/5/14,7,"1,599,230"
106/5/15,1,"2,035,593"
106/5/16,2,"2,091,091"
106/5/17,3,"2,112,900"
106/5/18,4,"2,118,449"
106/5/19,5,"2,405,959"
106/5/20,6,"2,092,918"
106/5/21,7,"1,794,732"
106/5/22,1,"2,056,233"
106/5/23,2,"2,072,407"
106/5/24,3,"2,096,124"
106/5/25,4,"2,118,569"
106/5/26,5,"2,283,022"
106/5/27,6,"1,766,044"
106/5/28,7,"1,704,830"
106/5/29,1,"1,658,125"
106/5/30,2,"1,358,680"
106/5/31,3,"2,097,111"
106/6/1,4,"2,108,733"
106/6/2,5,"2,065,402"
106/6/3,6,"1,961,183"
106/6/4,7,"1,509,777"
106/6/5,1,"2,038,718"
106/6/6,2,"2,077,458"
106/6/7,3,"2,099,442"
106/6/8,4,"2,097,434"
106/6/9,5,"2,290,857"
106/6/10,6,"2,028,284"
106/6/11,7,"1,666,129"
106/6/12,1,"2,031,091"
106/6/13,2,"2,068,320"
106/6/14,3,"2,052,846"
106/6/15,4,"2,151,131"
106/6/16,5,"2,275,052"
106/6/17,6,"1,745,484"
106/6/18,7,"1,504,619"
106/6/19,1,"2,045,553"
106/6/20,2,"2,067,290"
106/6/21,3,"2,115,676"
106/6/22,4,"2,142,092"
106/6/23,5,"2,301,901"
106/6/24,6,"1,943,189"
106/6/25,7,"1,665,792"
106/6/26,1,"2,014,810"
106/6/27,2,"2,053,167"
106/6/28,3,"2,072,841"
106/6/29,4,"2,089,302"
106/6/30,5,"2,316,429"
106/7/1,6,"1,823,735"
106/7/2,7,"1,645,742"
106/7/3,1,"2,027,481"
106/7/4,2,"2,058,874"
106/7/5,3,"2,109,689"
106/7/6,4,"2,122,725"
106/7/7,5,"2,255,318"
106/7/8,6,"1,916,294"
106/7/9,7,"1,665,436"
106/7/10,1,"2,075,230"
106/7/11,2,"2,108,257"
106/7/12,3,"2,141,607"
106/7/13,4,"2,166,236"
106/7/14,5,"2,256,065"
106/7/15,6,"1,927,884"
106/7/16,7,"1,660,860"
106/7/17,1,"2,048,678"
106/7/18,2,"2,091,666"
106/7/19,3,"2,086,101"
106/7/20,4,"2,108,438"
106/7/21,5,"2,227,440"
106/7/22,6,"1,863,279"
106/7/23,7,"1,609,468"
106/7/24,1,"2,018,266"
106/7/25,2,"2,071,378"
106/7/26,3,"2,087,148"
106/7/27,4,"2,101,679"
106/7/28,5,"2,207,754"
106/7/29,6,"1,318,726"
106/7/30,7,"1,057,068"
106/7/31,1,"1,987,474"
106/8/1,2,"2,056,366"
106/8/2,3,"2,044,076"
106/8/3,4,"2,108,052"
106/8/4,5,"2,222,245"
106/8/5,6,"1,916,078"
106/8/6,7,"1,628,695"
106/8/7,1,"2,044,614"
106/8/8,2,"2,043,332"
106/8/9,3,"2,120,292"
106/8/10,4,"2,159,835"
106/8/11,5,"2,289,133"
106/8/12,6,"2,010,445"
106/8/13,7,"1,692,212"
106/8/14,1,"2,052,866"
106/8/15,2,"2,118,871"
106/8/16,3,"2,102,736"
106/8/17,4,"2,117,383"
106/8/18,5,"2,246,447"
106/8/19,6,"1,951,490"
106/8/20,7,"1,697,393"
106/8/21,1,"2,049,124"
106/8/22,2,"2,073,977"
106/8/23,3,"2,133,513"
106/8/24,4,"2,142,075"
106/8/25,5,"2,274,103"
106/8/26,6,"2,062,138"
106/8/27,7,"1,679,329"
106/8/28,1,"2,116,191"
106/8/29,2,"2,058,000"
106/8/30,3,"2,066,843"
106/8/31,4,"2,060,866"
106/9/1,5,"2,177,430"
106/9/2,6,"1,751,825"
106/9/3,7,"1,452,237"
106/9/4,1,"2,001,400"
106/9/5,2,"1,975,158"
106/9/6,3,"2,082,879"
106/9/7,4,"2,091,018"
106/9/8,5,"2,224,758"
106/9/9,6,"1,892,813"
106/9/10,7,"1,609,654"
106/9/11,1,"2,039,617"
106/9/12,2,"2,081,061"
106/9/13,3,"1,962,736"
106/9/14,4,"2,000,767"
106/9/15,5,"2,265,537"
106/9/16,6,"1,958,080"
106/9/17,7,"1,648,912"
106/9/18,1,"2,035,911"
106/9/19,2,"2,079,426"
106/9/20,3,"2,118,687"
106/9/21,4,"2,118,031"
106/9/22,5,"2,310,041"
106/9/23,6,"1,966,757"
106/9/24,7,"1,631,419"
106/9/25,1,"2,041,082"
106/9/26,2,"2,070,263"
106/9/27,3,"2,113,775"
106/9/28,4,"2,127,970"
106/9/29,5,"2,263,204"
106/9/30,6,"2,158,819"
106/10/1,7,"1,660,582"
106/10/2,1,"2,076,454"
106/10/3,2,"2,216,893"
106/10/4,3,"1,402,500"
106/10/5,4,"2,129,030"
106/10/6,5,"2,308,076"
106/10/7,6,"1,829,678"
106/10/8,7,"1,693,153"
106/10/9,1,"1,690,483"
106/10/10,2,"1,523,930"
106/10/11,3,"2,051,915"
106/10/12,4,"2,074,510"
106/10/13,5,"2,245,208"
106/10/14,6,"1,704,860"
106/10/15,7,"1,510,202"
106/10/16,1,"2,076,568"
106/10/17,2,"2,117,767"
106/10/18,3,"2,146,184"
106/10/19,4,"2,173,660"
106/10/20,5,"2,358,215"
106/10/21,6,"2,069,982"
106/10/22,7,"1,787,401"
106/10/23,1,"2,076,072"
106/10/24,2,"2,112,018"
106/10/25,3,"2,147,053"
106/10/26,4,"2,163,710"
106/10/27,5,"2,378,397"
106/10/28,6,"2,103,855"
106/10/29,7,"1,771,333"
106/10/30,1,"2,098,516"
106/10/31,2,"2,103,407"
106/11/1,3,"2,106,642"
106/11/2,4,"2,108,336"
106/11/3,5,"2,330,453"
106/11/4,6,"1,980,204"
106/11/5,7,"1,706,837"
106/11/6,1,"2,073,916"
106/11/7,2,"2,103,804"
106/11/8,3,"2,139,482"
106/11/9,4,"2,175,244"
106/11/10,5,"2,378,619"
106/11/11,6,"2,078,842"
106/11/12,7,"1,768,317"
106/11/13,1,"2,106,753"
106/11/14,2,"2,128,134"
106/11/15,3,"2,157,499"
106/11/16,4,"2,186,137"
106/11/17,5,"2,412,377"
106/11/18,6,"2,061,167"
106/11/19,7,"1,760,429"
106/11/20,1,"2,154,683"
106/11/21,2,"2,130,567"
106/11/22,3,"2,151,193"
106/11/23,4,"2,186,415"
106/11/24,5,"2,397,856"
106/11/25,6,"1,962,615"
106/11/26,7,"1,704,054"
106/11/27,1,"2,087,442"
106/11/28,2,"2,148,358"
106/11/29,3,"2,172,127"
106/11/30,4,"2,175,459"
106/12/1,5,"2,374,968"
106/12/2,6,"2,107,106"
106/12/3,7,"1,832,258"
106/12/4,1,"2,096,950"
106/12/5,2,"2,151,926"
106/12/6,3,"2,197,775"
106/12/7,4,"2,244,676"
106/12/8,5,"2,482,363"
106/12/9,6,"2,252,383"
106/12/10,7,"1,992,771"
106/12/11,1,"2,155,347"
106/12/12,2,"2,207,757"
106/12/13,3,"2,235,608"
106/12/14,4,"2,264,764"
106/12/15,5,"2,507,419"
106/12/16,6,"2,284,334"
106/12/17,7,"1,981,671"
106/12/18,1,"2,207,734"
106/12/19,2,"2,233,964"
106/12/20,3,"2,285,261"
106/12/21,4,"2,282,130"
106/12/22,5,"2,498,190"
106/12/23,6,"2,447,816"
106/12/24,7,"2,036,103"
106/12/25,1,"2,291,232"
106/12/26,2,"2,240,509"
106/12/27,3,"2,270,721"
106/12/28,4,"2,292,694"
106/12/29,5,"2,497,606"
106/12/30,6,"2,138,946"
106/12/31,7,"2,594,212"
